id,created_at,updated_at,canceled_at,in_open_list,completion_date_time,reparation_start_date_time,reparation_end_date_time,vehicle_id,contact_id,license_plate,vehicle_identification_number,manufacturer,model,model_type,first_registration,mileage,company,salutation_id,first_name,last_name,street,zip_code,city,email,phone,customer_number,state_id,state_name,state_category,state_ids,order_count,order_numbers,insurer_id,is_huk_relevant,workshop_task_count,work_load_total,gt_case_type,gt_case_kind,gt_zones,gt_severity,gt_insurance_type,gt_lifecycle_stage,freitext
854904,2026-02-03 17:14:38,2026-02-11 07:54:55,,true,2026-02-10 07:54:55,2026-02-04 17:53:23,2026-02-10 00:53:23,122474,137063,QX-Y 27,ZZE9595G9X9062746,VW,Touran,5T,2021-03-20,101016,Kieswerk Bau GmbH & Co. KG,3,,,Espenstrasse 113,12587,Berlin,kontakt_hartmann@example.com,+49 151 8838512,182359,12,👍 Fertig zur Abholung,Vorgangsstatus,12|1010|1085|1605|612|1173,0,,,false,1,63,damage,Parkschaden,Heckklappe,mittel,haftpflicht_gegner,fertig,"VW Touran, QX-Y 27, km 101016
Kunde berichtet: Parkschaden, Schaden am 26.01. entdeckt. Schaden an Heckklappe, Kunststoff eingedrückt, handtellergroß.
Kunde bittet um Rückruf bis Freitag. Kunde wartet vor Ort.
Gegnerische Haftpflicht reguliert, Haftung anerkannt.
Bitte Lackabgleich, Farbton prüfen.
~~~~~~~~~~~~~
04.02.26 18:14 K. Brandt: Rechnung geschrieben"
844782,2026-06-26 15:20:11,2026-06-28 03:20:11,2026-06-26 08:33:30,false,,,,106438,134942,XQM-P 4774,ZZD08XL9XR9610754,Ford,Transit Custom,V362,2012-05-17,293483,,3,Sven,Krause,Zedernweg 101,55116,Mainz,skrause@example.net,0177 2936198,348038,35,☹️Absage Termin,Vorgangsstatus,35|484|611,2,509987|367370,,false,2,82,service,Räder und Reifen,,,,storniert,"Kunde bringt Fzg., Räderwechsel Sommer auf Winter, Einlagerung vorhanden.
Kunde holt am Abend ab.
~~~~~~~~~~~~~
02.07.26 16:20 Servicebüro: Freigabe Versicherung eingetroffen"
849332,2026-06-28 12:50:22,2026-06-30 02:50:22,2026-06-28 14:12:53,false,,,,120339,150176,QQE-A 420,ZZCSZYWX4WJ837345,Ford,Focus Turnier,DEH,2023-07-26,73068,,2,Andreas,Ziegler,Nelkenstrasse 81,20359,Hamburg,andreas.ziegler@example.org,0162/9349930,788652,40,❌ Auftrag storniert,Vorgangsstatus,40|394|438|1172,1,757096,,false,0,0,service,Inspektion,,,,storniert,"Anruf Kunde: Inspektion nach Herstellervorgabe.
Batterie schwach, Startprobleme morgens.
Kunde wartet, bitte zügig. Abholung durch Kunde am Nachmittag.
Ersatzteil im Rückstand, Kunde informiert.
~~~~~~~~~~~~~
05.07.26 13:50 Lack: Fzg. gewaschen, abholbereit"
868499,2026-03-07 12:33:32,2026-03-17 16:17:02,,true,,2026-03-16 15:17:02,,116609,150300,XQM-VW 5250,ZZHL0BZ17T6801824,Seat,Leon,KL1,2013-03-02,262561,,,Elke,Krause,Birkenweg 36,40213,Duesseldorf,,+49 160 5686643,222515,18,☢️ Auftrag steht ☢️,Vorgangsstatus,18|394|486|50,1,278201,,false,1,32,service,HU/AU,,,,laufend,"Kunde meldet: TÜV Termin, Fzg. vorher durchsehen.
Rückruf erwünscht bevor zusätzliche Arbeiten. Leihwagen ja, Hol- und Bringservice ja.
Termin nach Teileeingang.
~~~~~~~~~~~~~
09.03.26 17:33 Dispo: Endkontrolle offen
11.03.26 17:33 Lack: Leihwagen reserviert"
823107,2026-03-27 16:13:43,2026-03-28 20:13:43,,true,,,,107493,140217,XQE-ST 64,ZZGTLNLH9YT526579,Ford,Focus Turnier,DEH,2025-08-07,14442,,2,Florian,Frank,Am Muehlbach 57,34117,Kassel,florian.frank17@example.org,0175 0671551,300731,436,👋 Termin bitte vereinbaren /Teile/Freigabe/etc. eingetroffen,Vorgangsstatus,436|937|1084|1598,1,352969,128,false,1,59,damage,Auffahrunfall,Kotflügel vorne links,mittel,haftpflicht_gegner,neu,"KD meldet telefonisch: Auffahrunfall, Unfall am 22.03. Kotflügel vorne links: Riss im Lack, ca. 3 cm Durchmesser.
Bitte KVA vor Reparatur abstimmen.
Gegnerische Haftpflicht reguliert, Haftung anerkannt.
Teile bestellt, Liefertermin offen.
~~~~~~~~~~~~~
03.04.26 18:13 Lack: Rückruf nicht erreicht, Mailbox"
843691,2026-01-05 08:13:05,2026-01-20 18:34:08,,false,2026-01-19 17:34:08,2026-01-15 09:50:18,2026-01-18 12:50:18,118392,145598,QX-R 808,ZZC4P1JT9RB265102,Ford,Focus Turnier,DEH,2014-06-25,139539,,,Dirk,Scholz,Zedernweg 11,34117,Kassel,dscholz@example.de,0177 4003778,254994,121,abgerechnet ! Auftrag erledigt abgeschlossen,Vorgangsstatus,121|395|45,1,400146,,false,2,83,service,Räder und Reifen,,,,abgeschlossen,"Räder und Reifen: Räderwechsel Sommer auf Winter, Einlagerung vorhanden.
Kontrollleuchte Reifendruck ist an.
Rückruf erwünscht bevor zusätzliche Arbeiten.
~~~~~~~~~~~~~
09.01.26 11:13 Teiledienst: Fzg. in Halle, Zerlegung begonnen
11.01.26 16:13 N. Herrmann: Teile bestellt, Nachricht an Dispo
18.01.26 18:13 Lack: Fzg. gewaschen, abholbereit"
854758,2026-04-21 12:29:00,2026-05-13 07:49:19,,true,,2026-05-12 17:49:19,,105783,152175,ZQL-W 41,ZZHZN5994VF650687,BMW,5er Limousine,G30,2026-06-20,9216,,2,Michael,Lang,Quittenweg 81,79098,Freiburg,michael.lang@example.org,+49 (0)175 3053968,792650,11,👽💣Rückstand ohne Termin! Teilerückstand Fzg. bei uns,Vorgangsstatus,11|236|648|1449,1,233913,,false,2,132,service,Bremsen,,,,laufend,"Bremsen: Bremsscheiben hinten riefig, Kunde meldet Rubbeln.
Kunde meldet Vibration ab 120 km/h.
Bitte anrufen wenn mehr anfällt als besprochen.
~~~~~~~~~~~~~
24.04.26 14:29 SB: Rechnung geschrieben"
828503,2026-03-27 16:42:44,2026-04-19 01:24:30,,false,2026-04-18 14:24:30,2026-04-16 08:36:31,2026-04-16 14:36:31,125830,152883,QY-T 5916,ZZAX03HH6X7116671,Ford,Fiesta,JHH,2020-06-25,102857,Nordlicht Bau GmbH & Co. KG,3,Elena,Berger,Veilchenweg 78,10247,Berlin,elena.berger@example.org,0174 0735730,473377,36,🏁🔜Abgeholt/Ausgeliefert - Folgetermin offen,Vorgangsstatus,36|1563|1585|1605,2,914517|068621,134,true,1,36,damage,Parkschaden,Kotflügel hinten rechts,mittel,gesteuert,abgeschlossen,"Kunde kommt ohne Termin, Parkschaden, Verursacher unbekannt. Kotflügel hinten rechts: Halterung gebrochen, ca. 25 cm.
Kunde möchte wissen ob Instandsetzung reicht. Leihwagen ja.
Gesteuerter Auftrag, RKÜ liegt noch nicht vor.
Beilackierung notwendig.
Steuerung: ungesteuert.
~~~~~~~~~~~~~
29.03.26 16:42 Karosserie: Ersatzteil eingetroffen, Termin vereinbaren
02.04.26 16:42 R. Hahn: KV an Kunde verschickt
05.04.26 17:42 R. Hahn: Rechnung geschrieben"
898942,2026-04-08 11:05:00,2026-04-30 18:36:01,,true,,2026-04-30 14:36:01,,118514,148093,QQA-S 338,ZZHU2YLT3VD615630,Skoda,Fabia,PJ,2024-03-10,30211,Nordlicht Handel OHG,,,,Zedernweg 47,63065,Offenbach am Main,,0152/9774379,286757,17,♻️In Bearbeitung,Vorgangsstatus,17|946|997|50,1,570395,121,true,3,140,damage,Vandalismus,Fahrertür|Stoßstange hinten,mittel,teilkasko,laufend,"Kunde bringt Fzg., Vandalismus, Kunde hat Anzeige aufgenommen. Fahrertür Beule, punktuell, mehrere Stellen.
Weiterer Schaden Stoßstange hinten, Delle mit Lackschaden.
Kunde fragt nach Reparaturdauer.
Teilkasko läuft, SB laut Police 300 EUR.
Fzg. steht auf dem Hof.
Versicherung: Blauberg Allgemeine, Schadennr. 08802557."
873135,2026-06-16 14:43:49,2026-07-01 01:48:21,,false,2026-06-30 13:48:21,2026-06-24 08:46:49,2026-06-28 14:46:49,108805,146210,QQN-YA 75,ZZDD7L3C3RK518645,Skoda,Karoq,NU7,2020-12-23,77546,,,Elena,Lorenz,Erlenkamp 88,20359,Hamburg,elena.lorenz@example.net,+49 172 5289853,393734,36,🏁🔜Abgeholt/Ausgeliefert - Folgetermin offen,Vorgangsstatus,36|180,1,582228,,false,2,56,service,HU/AU,,,,abgeschlossen,"Skoda Karoq, QQN-YA 75, km 77546
HU/AU: TÜV/HU mit Abgasuntersuchung.
Bitte Softwarestand prüfen, Rückruf offen.
Kunde holt am Abend ab.
Fotos liegen im Vorgang."
847310,2026-04-12 10:06:09,2026-04-16 18:19:42,,true,,2026-04-15 07:19:42,,116782,133494,XQR-GW 2,ZZAFWSZ63XY342422,Seat,Arona,KJ7,2014-02-23,154922,,3,Helmut,Martens,Malvenweg 54,93047,Regensburg,,+49 (0)173 2181785,563164,106,😊📲Kunde erreicht DSA/Bilder angefordert,Vorgangsstatus,106|484,1,686473,,false,0,0,service,Räder und Reifen,,,,laufend,"KD meldet telefonisch: Räderwechsel Sommer auf Winter, Einlagerung vorhanden.
Klimaanlage kühlt schlecht, bitte prüfen.
Bitte anrufen wenn mehr anfällt als besprochen. Ersatzwagen geklärt, Klasse klein.
Teile bestellt, Liefertermin offen.
~~~~~~~~~~~~~
18.04.26 14:06 TS: Rechnung geschrieben
19.04.26 18:06 Servicebüro: Nachtrag: Kunde bittet um Verschiebung
21.04.26 19:06 SB: Kunde meldet sich wegen Termin"
830928,2026-06-22 09:05:04,2026-07-16 03:50:03,,true,,2026-07-15 14:50:03,,104350,139372,QX-N 83,ZZE8G8R02XG007063,Seat,Leon,KL1,2017-07-03,130371,Lindenhof Malerbetrieb OHG,,,,Tannenweg 52,10247,Berlin,,0159 5366256,307292,11,👽💣Rückstand ohne Termin! Teilerückstand Fzg. bei uns,Vorgangsstatus,11|954|1585|1596|597|1266|497,2,633793|594548,109,true,1,65,damage,Auffahrunfall,Stoßstange hinten rechts,mittel,gesteuert,laufend,"Fzg. angeliefert, Auffahrunfall, Hergang lt. Kunde unklar. Stoßstange hinten rechts Halterung gebrochen, ca. 25 cm.
Bitte KVA vor Reparatur abstimmen. Kunde wartet vor Ort.
Steuerung über Flottenpartner, Freigabe schriftlich nötig.
Kunde ist informiert, meldet sich.
Steuerung: Flottenpartner Nord.
~~~~~~~~~~~~~
30.06.26 11:05 U. Berger: Rechnung geschrieben"
855940,2026-06-21 14:58:10,2026-07-01 17:23:16,,false,2026-07-01 12:24:13,2026-06-28 07:23:16,2026-07-01 15:23:16,101928,159606,QQV-ME 100,ZZJ10EJG6XR934621,BMW,5er Limousine,G30,2012-08-11,253841,,1,Susanne,Lehmann,Kastanienallee 76,30655,Hannover,susanne.lehmann37@example.de,+49 (0)152 0993029,717385,41,🛑 Wartet auf Abholung durch Verwerter/Leasing/sonstige,Vorgangsstatus,41|392|406|999,1,529808,,false,1,38,service,HU/AU,,,,abgeschlossen,"Kunde kommt ohne Termin, HU/AU fällig, bitte mit Vorabcheck.
Klimaanlage kühlt schlecht, bitte prüfen.
Kunde bittet um Kostenvoranschlag.
~~~~~~~~~~~~~
24.06.26 19:58 Annahme: Freigabe Versicherung eingetroffen
30.06.26 21:58 M. Haas: KD informiert, Termin steht
08.07.26 01:58 M. Haas: Ersatzteil eingetroffen, Termin vereinbaren"
857332,2026-06-25 14:45:45,2026-07-22 19:11:33,,true,2026-07-21 17:11:33,2026-07-16 09:25:11,2026-07-21 10:25:11,106373,145814,ZQD-EZ 8,ZZDJ4ZHJ5WD306030,VW,Tiguan,5N,2014-10-13,173442,,3,Uwe,Lehmann,Wacholderweg 76,80331,Muenchen,uwe.lehmann@example.org,+49 (0)151 6803298,281857,38,👍 🔜Fertig zur Abholung mit Folgetermin,Vorgangsstatus,38|956|598|499,2,301172|037404,113,true,1,42,damage,Parkschaden,Motorhaube,mittel,haftpflicht_gegner,fertig,"Kunde kommt ohne Termin, Parkschaden, Kunde hat Fotos gemacht. Kunststoff eingedrückt an Motorhaube, punktuell, mehrere Stellen.
Kunde bittet um Rückruf bis Freitag. Leihwagen ja, Hol- und Bringservice ja.
Haftpflicht Gegner, Schadennummer liegt vor.
Fotos liegen im Vorgang.
~~~~~~~~~~~~~
03.07.26 18:45 Annahme: Fzg. in Halle, Zerlegung begonnen
09.07.26 21:45 S. Martens: Rückruf nicht erreicht, Mailbox
12.07.26 22:45 Servicebüro: Kalkulation fertig, an Prüfer"
850023,2026-04-23 15:36:17,2026-05-13 22:04:58,,true,,2026-05-13 07:04:58,,118449,155948,QQN-X 741,ZZEBC41B5VM225665,Mercedes,Sprinter,W907,2014-02-19,167246,,,Nadine,Heinrich,Zedernweg 23,52062,Aachen,nheinrich@example.com,0162 0855558,510074,435,🕋🤔Antwort Versicherer/GA/Leasing/Kunde fehlt,Vorgangsstatus,435|958|1585|480|99,2,526883|237194,117,false,1,12,damage,Hagelschaden,Dach|Motorhaube|Heckklappe,mittel,teilkasko,laufend,"Anruf Kunde: Hagelschaden, Schaden erst später bemerkt. Dach mit mehreren Dellen aus Hagelschlag.
Hagel: Motorhaube betroffen, Lack laut Sichtprüfung intakt.
Hagel: Heckklappe betroffen, Lack laut Sichtprüfung intakt.
Kunde bittet um Rückruf bis Freitag.
Teilkasko läuft, SB laut Police 300 EUR.
Termin steht, Dauer ca. 2 Tage.
~~~~~~~~~~~~~
29.04.26 19:36 SB: Fzg. gewaschen, abholbereit
08.05.26 00:36 Servicebüro: Teile bestellt, Nachricht an Dispo"
843725,2026-06-28 13:15:24,2026-07-13 03:10:19,,false,2026-07-12 14:10:19,2026-07-08 15:42:45,2026-07-10 18:42:45,123990,147942,XQM-G 835,ZZAKCTF46XN975336,Skoda,Fabia,PJ,2022-01-12,53886,,3,Elke,Moser,Kastanienallee 17,06108,Halle (Saale),elke_moser@example.com,0151/7053882,499108,721,🌝 Fzg angekauft,Vorgangsstatus,721|1139,0,,,false,1,42,damage,Parkschaden,Motorhaube,mittel,haftpflicht_gegner,abgeschlossen,"Fzg. angeliefert, Parkschaden, kein Zettel hinterlassen. Kunststoff eingedrückt an Motorhaube, ca. 3 cm Durchmesser.
Kunde fragt nach Smart Repair. Kunde wartet vor Ort.
Haftpflicht Gegner, Gutachter beauftragt.
Bitte Lackabgleich, Farbton prüfen.
~~~~~~~~~~~~~
01.07.26 14:15 P. Frank: Fzg. gewaschen, abholbereit"
866844,2026-07-22 13:16:56,2026-08-12 08:56:44,,false,2026-08-11 10:35:58,2026-08-06 15:56:44,2026-08-11 21:56:44,100518,130179,ZQL-RV 247,ZZGPEDCE8X0732262,Mercedes,Vito,W447,2017-10-20,82660,,1,Katrin,Nolte,Ahornweg 15,99084,Erfurt,katrin.nolte86@example.com,0176 8313612,328314,14,🚛✅ Ausgeliefert,Vorgangsstatus,14|948,1,219091,121,false,1,85,damage,Auffahrunfall,Kotflügel hinten rechts|Stoßstange hinten links|Stoßstange vorne links,mittel,haftpflicht_gegner,abgeschlossen,"Fzg. angeliefert, Auffahrunfall im Stau auf der Autobahn. Schaden an Kotflügel hinten rechts, Kratzer bis auf Grundierung, ca. 25 cm.
Auch Stoßstange hinten links beschädigt (Beule).
Stoßstange vorne links ebenfalls: Riss im Lack.
Kunde fragt nach Reparaturdauer. Abholung durch Kunde am Nachmittag.
Gegnerische Haftpflicht reguliert, Haftung anerkannt.
Termin steht, Dauer ca. 2 Tage.
Versicherung: Blauberg Allgemeine, Schadennr. 04942088.
~~~~~~~~~~~~~
30.07.26 14:16 TS: KD informiert, Termin steht
07.08.26 18:16 E. Kaiser: Kalkulation fertig, an Prüfer
12.08.26 21:16 E. Kaiser: Nachtrag: Kunde bittet um Verschiebung"
826552,2026-08-09 07:23:46,2026-08-10 02:23:46,,true,,,,103017,152967,QQK-FL 430,ZZAXVATD8XN336402,Mercedes,GLC,X254,2012-08-18,87673,,2,Patrick,Thiel,Am Muehlbach 58,65183,Wiesbaden,,0178/8538525,111702,28,❓Termin unsicher,Vorgangsstatus,28|949|1586,0,,,false,4,115,damage,Rangierschaden,Stoßstange hinten links|Kotflügel hinten rechts,mittel,selbstzahler,neu,"Mercedes GLC, QQK-FL 430, km 87673
Kunde berichtet: Rangierschaden, Poller übersehen. An Stoßstange hinten links Kunststoff eingedrückt (ca. 3 cm Durchmesser).
Auch Kotflügel hinten rechts beschädigt (Riss im Lack).
KVA erwünscht, bitte per Mail. Leihwagen ja.
Selbstzahler, keine Vers. im Spiel.
Teile bestellt, Liefertermin offen.
~~~~~~~~~~~~~
12.08.26 11:23 SB: Teile bestellt, Nachricht an Dispo"
841467,2026-05-25 11:10:16,2026-05-26 20:10:16,,true,,,,117208,149321,ZQS-CN 590,ZZHPMKWR8YD885218,Ford,Kuga,CX482,2016-04-23,193634,,,Maria,Maurer,Nelkenstrasse 44,85049,Ingolstadt,maria_maurer@example.net,0177/3877421,579674,27,✔️Termin bestätigt,Vorgangsstatus,27|182|1449,3,518673|222440|319462,,false,1,48,service,Inspektion,,,,neu,"Ford Kuga, ZQS-CN 590, km 193634
Lt. Kunde: Inspektion mit Pollenfilter und Bremsflüssigkeit.
Scheibenwischer schmieren, bitte erneuern.
Kunde holt am Abend ab. Kunde wartet vor Ort.
Ersatzteil im Rückstand, Kunde informiert.
~~~~~~~~~~~~~
29.05.26 13:10 Lack: Leihwagen reserviert
31.05.26 15:10 D. Keller: Fzg. in Halle, Zerlegung begonnen"
888989,2026-06-20 16:47:16,2026-07-06 18:28:15,,false,2026-07-06 15:28:15,2026-06-30 08:33:56,2026-07-03 11:33:56,123409,136127,XQM-AM 13,ZZFJYM2C2YM468922,Opel,Mokka,U,2025-09-02,19061,Weidenhof Gartenbau GmbH,3,Martin,Engel,Eichenweg 50,52062,Aachen,martin.engel@example.net,+49 170 8038552,082852,121,abgerechnet ! Auftrag erledigt abgeschlossen,Vorgangsstatus,121|954|1151|1597|434,1,304276,104,false,1,5,damage,Hagelschaden,Dach|Heckklappe,leicht,gesteuert,abgeschlossen,"Kunde bringt Fzg., Hagelschaden, mehrere Fzg. aus dem Ort betroffen. Dach mit mehreren Dellen aus Hagelschlag.
Heckklappe mit mehreren Dellen aus Hagelschlag.
Kunde möchte wissen ob Instandsetzung reicht. Leihwagen nein, Kunde wartet.
Steuerung über Flottenpartner, Freigabe schriftlich nötig.
Kunde ist informiert, meldet sich."
891561,2026-01-26 10:34:41,2026-02-27 08:26:17,,true,2026-02-26 17:26:17,2026-02-20 08:28:11,2026-02-23 11:28:11,120309,159395,QQ-A 4694,ZZG85D0B1WU930347,Opel,Astra Sports Tourer,L,2021-10-12,93340,,1,Yvonne,Martens,Am Alten Sportplatz 107,76133,Karlsruhe,ymartens@example.net,+49 (0)174 8033059,824671,1153,👆🚚 Bringservice mit Folgetermin,Vorgangsstatus,1153|946|45,1,479879,,false,1,19,damage,Rangierschaden,Stoßstange hinten links|Stoßstange vorne,leicht,selbstzahler,fertig,"Kunde bringt Fzg., Rangierschaden an der Laderampe. Schaden an Stoßstange hinten links, Lackabrieb, ca. 3 cm Durchmesser.
Zusätzlich Stoßstange vorne betroffen, kleine Delle.
Hol- und Bringservice gewünscht.
Kunde zahlt selbst, KVA vorab.
Ersatzteil nur komplett lieferbar, Austausch statt Instandsetzung."
